"Lemma" "Source"
"840" "agronomist" "agronomists"
"841" "agua" "aguas"
"842" "ague" "agues"
"843" "ah" "ahs"
"844" "aid" "aided"
"845" "aid" "aiding"
"846" "aid" "aids"
"847" "aide" "aides"
"848" "aide-de-camp" "aides-de-camp"
"849" "ail" "ailed"
"850" "ail" "ailing"
"851" "ail" "ails"
"852" "aileron" "ailerons"
"853" "ailment" "ailments"
"854" "aim" "aimed"
"855" "aim" "aiming"
"856" "aim" "aims"
"857" "air" "aired"
"858" "air" "airing"
"859" "air" "airs"
"860" "airbag" "airbags"
"861" "airbed" "airbeds"
"862" "air-bladder" "air-bladders"
"863" "airbrick" "airbricks"
"864" "airbrush" "airbrushed"
"865" "airbrush" "airbrushes"
"866" "airbrush" "airbrushing"
"867" "airbus" "airbuses"
"868" "air-conditioner" "air-conditioners"
"869" "airconditioning" "airconditionings"
"870" "aircraft" "aircrafts"
"871" "aircrew" "aircrews"
"872" "airdrop" "airdrops"
"873" "air-dry" "air-dried"
"874" "air-dry" "air-dries"
"875" "air-dry" "air-drying"
"876" "aire" "airig"
"877" "airfield" "airfields"
"878" "airflow" "airflows"
"879" "air-flow" "air-flows"
"880" "airframe" "airframes"
"881" "airgun" "airguns"
"882" "airlane" "airlanes"
"883" "airletter" "airletters"
"884" "airlift" "airlifted"
"885" "airlift" "airlifting"
"886" "airlift" "airlifts"
"887" "airline" "airlines"
"888" "airliner" "airliners"
"889" "airlock" "airlocks"
"890" "airmail" "airmailed"
"891" "airmail" "airmailing"
"892" "airmail" "airmails"
"893" "airman" "airmen"
"894" "airplane" "airplanes"
"895" "airport" "airports"
"896" "air-pump" "air-pumps"
"897" "air-raid" "air-raids"
"898" "air-shaft" "air-shafts"
"899" "airship" "airships"
"900" "airspace" "airspaces"
"901" "airspeed" "airspeeds"
"902" "airstream" "airstreams"
"903" "airstrike" "airstrikes"
"904" "airstrip" "airstrips"
"905" "airwave" "airwaves"
"906" "airway" "airways"
"907" "airwoman" "airwomen"
"908" "airy" "airier"
"909" "airy" "airiest"
"910" "aisle" "aisles"
"911" "aitch" "aitches"
"912" "ala" "alae"
"913" "alanine" "alanines"
"914" "alarm" "alarmed"
"915" "alarm" "alarming"
"916" "alarm" "alarms"
"917" "alarmist" "alarmists"
"918" "Albanian" "Albanians"
"919" "albatross" "albatrosses"
"920" "albedo" "albedos"
"921" "albinism" "albinisms"
"922" "albino" "albinos"
"923" "album" "albums"
"924" "albumen" "albumens"
"925" "albumin" "albumins"
"926" "alchemist" "alchemists"
"927" "alchemy" "alchemies"
"928" "alcohol" "alcohols"
"929" "alcoholic" "alcoholics"
"930" "alcoholism" "alcoholisms"
"931" "alcopop" "alcopops"
"932" "alcove" "alcoves"
"933" "aldehyde" "aldehydes"
"934" "alder" "alders"
"935" "alderman" "aldermen"
"936" "aldosterone" "aldosterones"
"937" "ale" "ales"
"938" "alert" "alerted"
"939" "alert" "alerting"
"940" "alert" "alerts"
